City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kaduna,10.5222,7.4383,28.5,15,5,3.97,NG,1681418669
84,oussouye,12.485,-16.5469,30.1,61,96,4.15,SN,1681418670
85,ivankiv,50.9386,29.8943,7.65,96,100,3.02,UA,1681418671
86,hasaki,35.7333,140.8333,14.22,69,19,8.0,JP,1681418671
87,hailar,49.2,119.7,-2.73,73,0,2.92,CN,1681418671
88,chardara,41.2547,67.9692,19.92,50,53,5.38,KZ,1681418483
89,cherskiy,68.75,161.3,-20.63,96,63,1.93,RU,1681418672
90,half moon bay,37.4636,-122.4286,20.49,39,0,4.12,US,1681418602
91,la ronge,55.1001,-105.2842,9.14,29,20,1.54,CA,1681418675
92,alta floresta,-9.8756,-56.0861,27.9,89,40,1.54,BR,1681418675
93,hakkari,37.5833,44.1667,1.88,80,75,3.6,TR,1681418676
94,ayan,56.45,138.1667,-3.75,69,100,6.69,RU,1681418676
95,nemuro,43.3236,145.575,4.47,86,0,7.49,JP,1681418677
96,sola,-13.8833,167.55,27.57,77,100,3.72,VU,1681418677
97,general salgado,-20.6483,-50.3606,24.79,76,14,0.59,BR,1681418678
98,sao filipe,14.8961,-24.4956,23.32,78,65,2.37,CV,1681418678
99,normandin,48.8333,-72.5321,22.17,53,99,2.06,CA,1681418678
100,boende,-0.2167,20.8667,24.07,78,74,0.77,CD,1681418678
101,severo-kurilsk,50.6789,156.125,0.7,90,7,4.0,RU,1681418679
102,souillac,-20.5167,57.5167,24.21,88,20,2.57,MU,1681418679
103,ubauro,28.1652,69.7289,31.23,21,0,3.06,PK,1681418679
104,barrow,71.2906,-156.7887,-20.99,77,0,3.6,US,1681418680
105,kodiak,57.79,-152.4072,4.73,60,100,3.09,US,1681418680
106,mar del plata,-38.0023,-57.5575,15.05,66,40,7.2,AR,1681418572
107,jalu,29.0331,21.5482,22.02,14,0,3.37,LY,1681418681
108,chuy,-33.6971,-53.4616,15.32,59,13,4.45,UY,1681418681
109,coihaique,-45.5752,-72.0662,16.34,33,0,3.6,CL,1681418681
110,mehamn,71.0357,27.8492,0.97,69,0,7.72,NO,1681418681
111,cidreira,-30.1811,-50.2056,19.22,82,100,4.62,BR,1681418682
112,hilo,19.7297,-155.09,20.85,92,100,3.09,US,1681418606
113,ada,43.4166,-116.1262,9.01,41,40,6.71,US,1681418682
114,arraial do cabo,-22.9661,-42.0278,27.98,74,0,6.69,BR,1681418683
115,ilulissat,69.2167,-51.1,-2.99,93,100,2.06,GL,1681418631
116,maues,-3.3836,-57.7186,27.89,83,100,0.94,BR,1681418683
117,kibala,9.1104,18.3463,27.97,61,20,1.54,TD,1681418684
118,taicheng,38.731,113.228,8.67,29,77,3.51,CN,1681418684
119,avarua,-21.2078,-159.775,27.03,69,84,2.57,CK,1681418574
120,viesca,25.35,-102.8,32.03,8,89,4.12,MX,1681418685
121,port pirie,-33.1833,138.0167,14.15,73,47,2.72,AU,1681418685
122,khatanga,71.9667,102.5,-12.51,91,100,10.29,RU,1681418685
123,qaanaaq,77.484,-69.3632,-12.82,82,3,0.75,GL,1681418591
124,port-gentil,-0.7193,8.7815,26.98,94,20,1.03,GA,1681418677
125,lavrentiya,65.5833,-171.0,-16.47,79,15,3.27,RU,1681418627
126,tuktoyaktuk,69.4541,-133.0374,-20.0,77,75,4.12,CA,1681418687
127,suihua,46.6406,126.9969,0.61,62,27,2.57,CN,1681418687
128,hovd,48.0056,91.6419,-1.2,32,22,3.58,MN,1681418688
129,biritiba-mirim,-23.5698,-46.0407,27.88,92,44,0.62,BR,1681418688
130,usoke,-5.1667,32.35,18.58,97,100,2.15,TZ,1681418688
131,babushkin,51.7122,105.8647,-8.38,79,2,3.2,RU,1681418689
132,semnan,35.5729,53.3971,15.86,21,1,6.97,IR,1681418402
133,khor,47.8861,134.9464,-1.69,78,100,4.42,RU,1681418228
134,kanchanaburi,14.6333,99.1,24.65,89,77,1.96,TH,1681418689
135,ormara,25.2088,64.6357,25.49,86,0,4.41,PK,1681418690
136,bandarbeyla,9.4942,50.8122,28.14,76,63,3.75,SO,1681418690
137,dunedin,-45.8742,170.5036,12.67,74,100,2.24,NZ,1681418691
138,kirakira,-10.4544,161.9205,28.07,82,97,2.21,SB,1681418691
139,noumea,-22.2763,166.4572,26.11,99,100,3.76,NC,1681418209
140,ribeira grande,38.5167,-28.7,17.22,94,75,5.81,PT,1681418692
141,barcelona,41.3888,2.159,16.29,48,20,8.23,ES,1681418408
142,bilibino,68.0546,166.4372,-19.07,96,85,0.35,RU,1681418693
143,bay-khaak,51.1667,94.5,-3.61,72,99,2.27,RU,1681418693
144,victoria,22.2855,114.1577,24.1,87,94,3.58,HK,1681418473
145,dingle,10.9995,122.6711,23.64,90,100,0.52,PH,1681418694
146,marzuq,14.4,46.4667,23.47,68,99,2.45,YE,1681418694
147,noormarkku,61.5927,21.8685,3.88,38,100,6.17,FI,1681418695
148,superior,46.7208,-92.1041,13.54,60,0,8.75,US,1681418695
149,airai,-8.9266,125.4092,15.68,93,27,1.06,TL,1681418695
150,rocha,-34.4833,-54.3333,15.22,55,3,5.18,UY,1681418627
151,plymouth,41.8334,-70.8328,32.27,39,0,7.2,US,1681418696
152,narsaq,60.9167,-46.05,9.12,78,99,1.63,GL,1681418696
153,tuatapere,-46.1333,167.6833,10.54,90,44,2.15,NZ,1681418696
154,jibuti,11.5,42.5,25.19,74,95,6.74,DJ,1681418697
155,beringovskiy,63.05,179.3167,-16.26,84,43,3.03,RU,1681418697
156,torbay,47.6666,-52.7314,4.6,95,100,5.66,CA,1681418544
157,ouegoa,-20.35,164.4333,23.84,93,100,2.62,NC,1681418697
158,saint anthony,45.0205,-93.218,30.59,27,0,9.77,US,1681418698
159,umm lajj,25.0213,37.2685,21.14,45,0,4.87,SA,1681418698
160,san rafael,-34.6177,-68.3301,15.5,42,5,5.44,AR,1681418626
161,makinsk,52.6292,70.4169,6.73,64,100,1.87,KZ,1681418698
162,ixtapa,20.7,-105.2,26.57,50,40,4.12,MX,1681418699
163,olga,43.7444,135.2892,2.86,52,2,2.45,RU,1681418699
164,pevek,69.7008,170.3133,-16.9,94,96,1.55,RU,1681418699
165,ostrovnoy,68.0531,39.5131,-8.89,84,16,7.31,RU,1681418700
166,riyadh,24.6877,46.7219,20.08,39,100,5.66,SA,1681418700
167,mangochi,-14.4782,35.2645,20.75,95,56,2.34,MW,1681418700
168,izhmorskiy,56.194,86.6414,1.17,85,100,6.1,RU,1681418701
169,paamiut,61.994,-49.6678,2.12,64,100,1.42,GL,1681418648
170,kaka,37.3482,59.6143,27.25,27,100,11.3,TM,1681418702
171,klaksvik,62.2266,-6.589,6.51,83,100,6.83,FO,1681418703
